Stakeholder,Stake,Shares owned,Total value ($),Shares bought / sold,Total change,Symbol
Geode Capital Management LLC,1.53%,"14,899,617","548,454,902","+257,657",+1.76%,EXC
AQR Capital Management LLC,1.43%,"13,941,261","513,177,817","-4,083,770",-22.66%,EXC
"Northern Trust Investments, Inc.(...",1.27%,"12,388,465","456,019,397","-579,709",-4.47%,EXC
"The Vanguard Group, Inc.",11.39%,"15,321,487","862,140,073","+915,280",+6.35%,EXPE
"PAR Capital Management, Inc.",5.87%,"7,898,413","444,443,700","-1,636,214",-17.16%,EXPE
BlackRock Fund Advisors,5.26%,"7,073,339","398,016,786","+90,474",+1.30%,EXPE
Artisan Partners LP,4.92%,"6,613,373","372,134,499","+1,083,242",+19.59%,EXPE
"SSgA Funds Management, Inc.",4.42%,"5,942,486","334,383,687","+95,845",+1.64%,EXPE
Citadel Advisors LLC,3.32%,"4,469,425","251,494,545","+4,457,679","+37,950.61%",EXPE
Wellington Management Co. LLP,3.00%,"4,033,245","226,950,696","-4,752,124",-54.09%,EXPE
Melvin Capital Management LP,2.99%,"4,015,486","225,951,397","+2,515,486",+167.70%,EXPE
"JPMorgan Investment Management, I...",2.81%,"3,778,366","212,608,655","-1,268,865",-25.14%,EXPE
Altimeter Capital Management LP,2.71%,"3,647,373","205,237,679","+247,680",+7.29%,EXPE
"The Vanguard Group, Inc.",12.45%,"20,915,845","1,395,505,178","-333,059",-1.57%,EXPD
"Loomis, Sayles & Co. LP",9.71%,"16,303,507","1,087,769,987","+446,005",+2.81%,EXPD
BlackRock Fund Advisors,6.23%,"10,466,412","698,319,009","-1,380,065",-11.65%,EXPD
"SSgA Funds Management, Inc.",5.66%,"9,506,562","634,277,817","-1,312",-0.01%,EXPD
"Fiduciary Management, Inc.",3.40%,"5,709,645","380,947,514","-122,348",-2.10%,EXPD
BLS Capital Fondsm�glerselskab A/...,2.40%,"4,024,763","268,532,187","+164,700",+4.27%,EXPD
Managed Account Advisors LLC,2.33%,"3,906,675","260,653,356","+141,980",+3.77%,EXPD
Geode Capital Management LLC,1.69%,"2,845,744","189,868,040","+116,345",+4.26%,EXPD
"Northern Trust Investments, Inc.(...",1.31%,"2,206,656","147,228,088","+36,232",+1.67%,EXPD
"T. Rowe Price Associates, Inc. (I...",1.14%,"1,918,542","128,005,122","+2,845",+0.15%,EXPD
"The Vanguard Group, Inc.",15.93%,"20,648,503","1,977,300,647","-306,174",-1.46%,EXR
BlackRock Fund Advisors,8.04%,"10,425,671","998,362,255","+716,156",+7.38%,EXR
Cohen & Steers Capital Management...,7.97%,"10,332,367","989,427,464","+2,434,965",+30.83%,EXR
"SSgA Funds Management, Inc.",6.53%,"8,457,532","809,893,264","-492,871",-5.51%,EXR
"APG Asset Management US, Inc.",2.72%,"3,528,000","337,841,280","+1,630,059",+85.89%,EXR
Daiwa Asset Management Co. Ltd.,2.66%,"3,444,197","329,816,305","+1,156,042",+50.52%,EXR
Fidelity Management & Research Co...,2.52%,"3,268,493","312,990,890","-1,260,583",-27.83%,EXR
Principal Global Investors LLC,2.49%,"3,232,808","309,573,694","+121,544",+3.91%,EXR
PGGM Vermogensbeheer BV,2.02%,"2,621,007","250,987,630","+645,073",+32.65%,EXR
Geode Capital Management LLC,2.01%,"2,608,412","249,781,533","+184,378",+7.61%,EXR
"The Vanguard Group, Inc.",8.19%,"346,578,691","13,159,592,897","+2,606,291",+0.76%,XOM
BlackRock Fund Advisors,4.84%,"204,787,316","7,775,774,389","+2,419,577",+1.20%,XOM
"SSgA Funds Management, Inc.",4.78%,"202,281,808","7,680,640,250","+5,019,413",+2.54%,XOM
Capital Research & Management Co....,1.57%,"66,388,650","2,520,777,041","+4,674,009",+7.57%,XOM
Geode Capital Management LLC,1.46%,"61,969,806","2,352,993,534","+1,790,650",+2.98%,XOM
"Northern Trust Investments, Inc.(...",1.31%,"55,216,789","2,096,581,478","-1,743,634",-3.06%,XOM
Wellington Management Co. LLP,1.23%,"52,021,227","1,975,245,989","-1,733,295",-3.22%,XOM
Norges Bank Investment Management,1.03%,"43,794,686","1,662,884,227","+2,789,528",+6.80%,XOM
Fidelity Management & Research Co...,1.02%,"43,349,071","1,645,964,226","-306,939",-0.70%,XOM
State Farm Investment Management ...,0.80%,"33,647,900","1,277,610,763","-3,478,900",-9.37%,XOM
"The Vanguard Group, Inc.",11.23%,"6,830,747","728,362,553","+154,083",+2.31%,FFIV
BlackRock Fund Advisors,5.60%,"3,405,729","363,152,883","-756,449",-18.17%,FFIV
"SSgA Funds Management, Inc.",5.04%,"3,063,298","326,639,466","-18,896",-0.61%,FFIV
Renaissance Technologies LLC,4.71%,"2,865,374","305,534,830","+569,200",+24.79%,FFIV
Wellington Management Co. LLP,3.05%,"1,856,148","197,921,061","-25,982",-1.38%,FFIV
Citadel Advisors LLC,2.74%,"1,667,603","177,816,508","-358,705",-17.70%,FFIV
AQR Capital Management LLC,2.54%,"1,543,561","164,589,909","-410,582",-21.01%,FFIV
Geode Capital Management LLC,1.89%,"1,147,140","122,319,538","+38,258",+3.45%,FFIV
AllianceBernstein LP,1.82%,"1,103,373","117,652,663","+6,109",+0.56%,FFIV
Swedbank Robur Fonder AB,1.60%,"973,685","103,824,032","+11,730",+1.22%,FFIV
"The Vanguard Group, Inc.",7.48%,"179,869,485","30,002,230,098","+566,892",+0.32%,FB
Fidelity Management & Research Co...,4.96%,"119,257,393","19,892,133,152","+3,716,715",+3.22%,FB
"T. Rowe Price Associates, Inc. (I...",4.48%,"107,830,505","17,986,128,234","+3,714,644",+3.57%,FB
