Stakeholder,Stake,Shares owned,Total value ($),Shares bought / sold,Total change,Symbol
"Northern Trust Investments, Inc.(...",0.75%,"11,960,733","97,121,152","+216,253",+1.84%,AMCR
BlackRock Investment Management L...,0.61%,"9,843,963","79,932,980","+112,624",+1.16%,AMCR
Investors Mutual Ltd.,0.49%,"7,892,622","64,088,091","-450,302",-5.40%,AMCR
BlackRock Investment Management (...,0.46%,"7,391,093","60,015,675","+659,711",+9.80%,AMCR
"The Vanguard Group, Inc.",12.17%,"30,023,330","2,186,599,124","-724,809",-2.36%,AEE
BlackRock Fund Advisors,5.38%,"13,275,069","966,823,275","+563,012",+4.43%,AEE
"SSgA Funds Management, Inc.",5.37%,"13,236,258","963,996,670","+379,117",+2.95%,AEE
Goldman Sachs & Co. LLC (Private ...,3.47%,"8,560,253","623,443,226","+1,683,171",+24.48%,AEE
Renaissance Technologies LLC,1.85%,"4,571,208","332,921,079","-1,034,392",-18.45%,AEE
Citadel Advisors LLC,1.85%,"4,570,014","332,834,120","+1,073,486",+30.70%,AEE
Columbia Management Investment Ad...,1.83%,"4,506,092","328,178,680","+97,872",+2.22%,AEE
Pictet Asset Management SA,1.70%,"4,193,416","305,406,487","+1,094,403",+35.31%,AEE
Geode Capital Management LLC,1.62%,"3,995,788","291,013,240","+43,701",+1.11%,AEE
Millennium Management LLC,1.34%,"3,307,061","240,853,253","-67,544",-2.00%,AEE
PRIMECAP Management Co.,16.07%,"68,459,946","834,526,742","-11,400",-0.02%,AAL
"Berkshire Hathaway, Inc. (Investm...",9.98%,"42,500,000","518,075,000","-1,200,000",-2.75%,AAL
"The Vanguard Group, Inc.",9.87%,"42,067,628","512,804,385","-397,453",-0.94%,AAL
BlackRock Fund Advisors,4.29%,"18,277,988","222,808,674","-59,563",-0.32%,AAL
Harris Associates LP,3.97%,"16,925,979","206,327,684","-1,072,162",-5.96%,AAL
"SSgA Funds Management, Inc.",3.17%,"13,524,173","164,859,669","+73,916",+0.55%,AAL
Fidelity Management & Research Co...,2.80%,"11,943,247","145,588,181","+2,553,508",+27.19%,AAL
Goldman Sachs & Co. LLC (Private ...,2.13%,"9,078,398","110,665,672","+7,511,903",+479.54%,AAL
Lansdowne Partners (UK) LLP,1.53%,"6,507,310","79,324,109","-843,421",-11.47%,AAL
Geode Capital Management LLC,1.46%,"6,207,365","75,667,779","+128,435",+2.11%,AAL
"The Vanguard Group, Inc.",8.12%,"40,183,370","3,213,865,933","+364,057",+0.91%,AEP
BlackRock Fund Advisors,5.84%,"28,897,191","2,311,197,336","+509,314",+1.79%,AEP
"SSgA Funds Management, Inc.",5.41%,"26,744,349","2,139,013,033","+1,311,815",+5.16%,AEP
Capital Research & Management Co....,4.42%,"21,849,296","1,747,506,694","-634,071",-2.82%,AEP
"T. Rowe Price Associates, Inc. (I...",3.27%,"16,161,828","1,292,623,003","+6,193,638",+62.13%,AEP
Wellington Management Co. LLP,1.75%,"8,681,154","694,318,697","+35,382",+0.41%,AEP
Geode Capital Management LLC,1.40%,"6,949,650","555,833,007","+182,559",+2.70%,AEP
Columbia Management Investment Ad...,1.40%,"6,926,274","553,963,395","-509,245",-6.85%,AEP
"Northern Trust Investments, Inc.(...",1.19%,"5,897,891","471,713,322","-15,241",-0.26%,AEP
"JPMorgan Investment Management, I...",1.07%,"5,315,524","425,135,610","-2,295,148",-30.16%,AEP
"Berkshire Hathaway, Inc. (Investm...",18.82%,"151,610,700","12,979,392,027",0,0.00%,AXP
"The Vanguard Group, Inc.",5.99%,"48,278,311","4,133,106,205","-432,211",-0.89%,AXP
"SSgA Funds Management, Inc.",4.33%,"34,846,177","2,983,181,213","-747,276",-2.10%,AXP
BlackRock Fund Advisors,3.65%,"29,442,402","2,520,564,035","-973,112",-3.20%,AXP
Wellington Management Co. LLP,3.49%,"28,092,717","2,405,017,502","+2,953,739",+11.75%,AXP
Fidelity Management & Research Co...,3.38%,"27,257,268","2,333,494,713","-1,075,292",-3.80%,AXP
Dodge & Cox,1.76%,"14,143,501","1,210,825,121","-395,897",-2.72%,AXP
Fisher Asset Management LLC,1.71%,"13,760,957","1,178,075,529","+155,545",+1.14%,AXP
Massachusetts Financial Services ...,1.21%,"9,715,704","831,761,419","-275,331",-2.76%,AXP
"Northern Trust Investments, Inc.(...",1.14%,"9,148,945","783,241,181","-66,488",-0.72%,AXP
"T. Rowe Price Associates, Inc. (I...",7.85%,"68,551,070","1,662,363,448","-7,072,350",-9.35%,AIG
"The Vanguard Group, Inc.",7.78%,"67,916,401","1,646,972,724","+540,800",+0.80%,AIG
BlackRock Fund Advisors,4.47%,"39,071,904","947,493,672","-382,438",-0.97%,AIG
"SSgA Funds Management, Inc.",4.42%,"38,603,669","936,138,973","+140,929",+0.37%,AIG
Wellington Management Co. LLP,3.92%,"34,248,721","830,531,484","+360,551",+1.06%,AIG
Capital Research & Management Co....,3.78%,"33,050,506","801,474,771","+297,175",+0.91%,AIG
Harris Associates LP,3.37%,"29,459,399","714,390,426","+8,862",+0.03%,AIG
Fidelity Management & Research Co...,2.67%,"23,328,698","565,720,927","-3,685,227",-13.64%,AIG
Hotchkis & Wiley Capital Manageme...,2.35%,"20,548,335","498,297,124","+4,320,708",+26.63%,AIG
"Invesco Advisers, Inc.",2.21%,"19,275,010","467,418,993","-688,216",-3.45%,AIG
"The Vanguard Group, Inc.",7.89%,"565,743,377","16,491,419,440","+4,889,649",+0.87%,T
BlackRock Fund Advisors,5.18%,"371,246,767","10,821,843,258","+16,123,929",+4.54%,T
"SSgA Funds Management, Inc.",4.14%,"296,815,003","8,652,157,337","+426,331",+0.14%,T
Newport Trust Co.,2.67%,"191,361,386","5,578,184,402","-1,764,280",-0.91%,T
Geode Capital Management LLC,1.53%,"109,540,861","3,193,116,098","+4,091,166",+3.88%,T
"Northern Trust Investments, Inc.(...",1.22%,"87,193,411","2,541,687,931","+552,432",+0.64%,T
Dimensional Fund Advisors LP,1.10%,"78,949,691","2,301,383,493","-572,624",-0.72%,T
Norges Bank Investment Management,1.05%,"74,930,914","2,184,236,143","+2,148,929",+2.95%,T
Morgan Stanley Smith Barney LLC (...,0.81%,"58,023,176","1,691,375,580","+912,638",+1.60%,T
BlackRock Investment Management (...,0.69%,"49,322,497","1,437,750,788","+181,422",+0.37%,T
"The Vanguard Group, Inc.",13.01%,"57,598,553","12,542,084,916","+320,278",+0.56%,AMT
BlackRock Fund Advisors,5.32%,"23,550,444","5,128,109,181","-332,762",-1.39%,AMT
"SSgA Funds Management, Inc.",4.49%,"19,878,737","4,328,594,982","+1,266,057",+6.80%,AMT
Wellington Management Co. LLP,3.94%,"17,454,893","3,800,802,951","-844,396",-4.61%,AMT
Fidelity Management & Research Co...,3.93%,"17,426,017","3,794,515,202","-865,067",-4.73%,AMT
Capital Research & Management Co....,2.50%,"11,080,759","2,412,835,272","-320,447",-2.81%,AMT
Cohen & Steers Capital Management...,2.04%,"9,031,127","1,966,527,904","+3,063,190",+51.33%,AMT
Edgewood Management LLC,1.93%,"8,562,826","1,864,555,362",+18,+0.00%,AMT
Akre Capital Management LLC,1.62%,"7,186,212","1,564,797,663",-280,-0.00%,AMT
"Northern Trust Investments, Inc.(...",1.50%,"6,631,710","1,444,054,853","-142,271",-2.10%,AMT
"The Vanguard Group, Inc.",12.22%,"22,109,764","2,643,443,384","+142,780",+0.65%,AWK
BlackRock Fund Advisors,5.68%,"10,280,085","1,229,086,963","+58,585",+0.57%,AWK
"SSgA Funds Management, Inc.",5.45%,"9,866,422","1,179,629,414","+491,590",+5.24%,AWK
"T. Rowe Price Associates, Inc. (I...",3.52%,"6,375,978","762,311,930","+127,842",+2.05%,AWK
Pictet Asset Management SA,2.67%,"4,830,607","577,547,373","+235,898",+5.13%,AWK
"Northern Trust Investments, Inc.(...",1.92%,"3,469,612","414,826,811","-164,168",-4.52%,AWK
Geode Capital Management LLC,1.72%,"3,113,451","372,244,202","+144,328",+4.86%,AWK
Invesco Capital Management LLC,1.60%,"2,901,759","346,934,306","+308,469",+11.89%,AWK
RBC Global Asset Management (UK) ...,1.42%,"2,573,957","307,742,299","+73,498",+2.94%,AWK
Impax Asset Management Ltd.,1.34%,"2,419,442","289,268,486","+321,978",+15.35%,AWK
"The Vanguard Group, Inc.",10.49%,"12,896,949","1,321,679,334","-345,220",-2.61%,AMP
BlackRock Fund Advisors,5.67%,"6,976,723","714,974,573","-200,370",-2.79%,AMP
"SSgA Funds Management, Inc.",4.80%,"5,897,405","604,366,064","-118,949",-1.98%,AMP
Aristotle Capital Management LLC,3.64%,"4,480,238","459,134,790","+1,423,169",+46.55%,AMP
"JPMorgan Investment Management, I...",3.08%,"3,788,742","388,270,280","-1,012,668",-21.09%,AMP
LSV Asset Management,2.39%,"2,935,735","300,854,123","-54,412",-1.82%,AMP
"UBS Financial Services, Inc.",2.22%,"2,735,171","280,300,324","+23,169",+0.85%,AMP
Geode Capital Management LLC,1.94%,"2,387,878","244,709,737","+51,693",+2.21%,AMP
Lyrical Asset Management LP,1.88%,"2,306,183","236,337,634","+76,704",+3.44%,AMP
Norges Bank Investment Management,1.54%,"1,895,390","194,239,567","-3,986,255",-67.77%,AMP
"The Vanguard Group, Inc.",8.96%,"18,437,582","1,631,726,007","-400,365",-2.13%,ABC
BlackRock Fund Advisors,3.94%,"8,108,271","717,581,984","-74,636",-0.91%,ABC
"SSgA Funds Management, Inc.",3.49%,"7,175,794","635,057,769","+16,080",+0.22%,ABC
Fidelity Management & Research Co...,2.14%,"4,412,194","390,479,169","+266,499",+6.43%,ABC
"JPMorgan Investment Management, I...",1.70%,"3,495,610","309,361,485","-90,368",-2.52%,ABC
Vulcan Value Partners LLC,1.59%,"3,277,878","290,092,203","-180,916",-5.23%,ABC
"Victory Capital Management, Inc. ...",1.43%,"2,943,477","260,497,715","+91,934",+3.22%,ABC
Burgundy Asset Management Ltd.,1.23%,"2,528,424","223,765,524","+114,650",+4.75%,ABC
"Boston Partners Global Investors,...",1.20%,"2,459,493","217,665,131","+10,087",+0.41%,ABC
Geode Capital Management LLC,1.17%,"2,417,530","213,951,405","+35,437",+1.49%,ABC
"The Vanguard Group, Inc.",10.64%,"24,387,222","1,756,367,728","+115,615",+0.48%,AME
Fidelity Management & Research Co...,5.27%,"12,078,999","869,929,508","+911,222",+8.16%,AME
BlackRock Fund Advisors,5.20%,"11,927,488","859,017,686","-187,167",-1.54%,AME
"SSgA Funds Management, Inc.",3.98%,"9,111,303","656,196,042","+102,888",+1.14%,AME
Massachusetts Financial Services ...,3.24%,"7,432,815","535,311,336","+822,059",+12.44%,AME
"JPMorgan Investment Management, I...",2.14%,"4,906,356","353,355,759","+128,273",+2.68%,AME
American Century Investment Manag...,1.95%,"4,478,766","322,560,727","-89,430",-1.96%,AME
Wellington Management Co. LLP,1.71%,"3,917,002","282,102,484","-658,988",-14.40%,AME
"Boston Partners Global Investors,...",1.63%,"3,725,283","268,294,882","+90,405",+2.49%,AME
Geode Capital Management LLC,1.53%,"3,502,764","252,269,063","+165,723",+4.97%,AME
"The Vanguard Group, Inc.",8.04%,"47,432,941","9,616,080,129","-35,458",-0.07%,AMGN
Capital Research & Management Co....,5.99%,"35,337,639","7,163,999,554","+1,743,084",+5.19%,AMGN
BlackRock Fund Advisors,5.31%,"31,300,480","6,345,546,310","+70,449",+0.23%,AMGN
"SSgA Funds Management, Inc.",4.45%,"26,226,343","5,316,866,516","+236,791",+0.91%,AMGN
Fidelity Management & Research Co...,3.80%,"22,396,919","4,540,527,389",-300,-0.00%,AMGN
PRIMECAP Management Co.,3.10%,"18,297,015","3,709,353,851","+96,414",+0.53%,AMGN
Geode Capital Management LLC,1.70%,"10,029,181","2,033,215,864","+103,548",+1.04%,AMGN
"Northern Trust Investments, Inc.(...",1.36%,"8,026,375","1,627,187,004","-650,425",-7.50%,AMGN
Norges Bank Investment Management,1.07%,"6,285,274","1,274,213,598","-306,638",-4.65%,AMGN
Morgan Stanley Smith Barney LLC (...,1.05%,"6,175,745","1,252,008,784","+3,216",+0.05%,AMGN
Fidelity Management & Research Co...,13.17%,"39,271,034","2,862,072,958","+346,947",+0.89%,APH
"The Vanguard Group, Inc.",10.93%,"32,593,018","2,375,379,152","+72,204",+0.22%,APH
BlackRock Fund Advisors,5.76%,"17,179,911","1,252,071,914","-863,069",-4.78%,APH
"SSgA Funds Management, Inc.",4.42%,"13,168,997","959,756,501","+43,640",+0.33%,APH
Walter Scott & Partners Ltd.,3.50%,"10,443,489","761,121,478","-35,896",-0.34%,APH
Capital Research & Management Co....,3.39%,"10,099,623","736,060,524","+770,357",+8.26%,APH
Massachusetts Financial Services ...,3.25%,"9,687,344","706,013,631","+328,889",+3.51%,APH
"JPMorgan Investment Management, I...",2.27%,"6,769,953","493,394,175","-42,628",-0.63%,APH
AllianceBernstein LP,2.07%,"6,159,689","448,918,134","+563,138",+10.06%,APH
"T. Rowe Price Associates, Inc. (I...",1.66%,"4,960,587","361,527,581","+451,108",+10.00%,APH
"The Vanguard Group, Inc.",8.64%,"31,828,054","2,853,385,041","+218,842",+0.69%,ADI
Massachusetts Financial Services ...,4.92%,"18,107,012","1,623,293,626","-783,827",-4.15%,ADI
BlackRock Fund Advisors,4.57%,"16,837,977","1,509,524,638","-441,876",-2.56%,ADI
"JPMorgan Investment Management, I...",4.30%,"15,842,937","1,420,319,302","+1,096,902",+7.44%,ADI
"SSgA Funds Management, Inc.",4.12%,"15,151,609","1,358,341,747","+291,719",+1.96%,ADI
Fidelity Management & Research Co...,2.68%,"9,880,603","885,796,059","-1,351,284",-12.03%,ADI
"Franklin Advisers, Inc.",2.43%,"8,951,737","802,523,222","-873,100",-8.89%,ADI
Lazard Asset Management LLC,2.31%,"8,519,548","763,777,478","+624,366",+7.91%,ADI
Capital Research & Management Co....,2.05%,"7,541,853","676,127,121","-278,489",-3.56%,ADI
Wells Fargo Clearing Services LLC,1.60%,"5,902,980","529,202,157","+10,549",+0.18%,ADI
"The Vanguard Group, Inc.",10.78%,"9,259,821","2,152,630,588","+122,086",+1.34%,ANSS
BlackRock Fund Advisors,5.15%,"4,421,154","1,027,785,670","+37,417",+0.85%,ANSS
Fidelity Management & Research Co...,4.67%,"4,013,039","932,911,176","-140,158",-3.37%,ANSS
Aristotle Capital Management LLC,4.45%,"3,821,315","888,341,098","+1,274,185",+50.02%,ANSS
"SSgA Funds Management, Inc.",4.20%,"3,607,838","838,714,100","+70,126",+1.98%,ANSS
Massachusetts Financial Services ...,3.46%,"2,974,304","691,436,451","+6,078",+0.20%,ANSS
MFS International (UK) Ltd.,2.94%,"2,523,414","586,618,053","+4,024",+0.16%,ANSS
"BAMCO, Inc.",2.93%,"2,516,353","584,976,582","-81,943",-3.15%,ANSS
Principal Global Investors LLC,2.28%,"1,955,371","454,565,096","-78,074",-3.84%,ANSS
Brown Capital Management LLC,2.00%,"1,713,718","398,388,023","-97,628",-5.39%,ANSS
"The Vanguard Group, Inc.",7.57%,"19,073,998","4,330,560,506","-74,927",-0.39%,ANTM
BlackRock Fund Advisors,4.78%,"12,060,638","2,738,247,252","-316,193",-2.55%,ANTM
"T. Rowe Price Associates, Inc. (I...",4.57%,"11,516,140","2,614,624,426","-362,880",-3.05%,ANTM
"SSgA Funds Management, Inc.",4.38%,"11,035,889","2,505,588,239","-72,317",-0.65%,ANTM
Wellington Management Co. LLP,3.19%,"8,042,177","1,825,895,866","-460,592",-5.42%,ANTM
Capital Research & Management Co....,2.77%,"6,978,994","1,584,510,798","+1,298,029",+22.85%,ANTM
Fidelity Management & Research Co...,2.72%,"6,863,703","1,558,335,129","-462,936",-6.32%,ANTM
"Invesco Advisers, Inc.",1.91%,"4,805,964","1,091,146,067","+39,499",+0.83%,ANTM
Baillie Gifford & Co.,1.64%,"4,137,303","939,333,273","-146,621",-3.42%,ANTM
TCI Fund Management Ltd.,1.59%,"4,000,170","908,198,597","-80,427",-1.97%,ANTM
Massachusetts Financial Services ...,9.19%,"21,258,106","3,508,437,814","+300,588",+1.43%,AON
"The Vanguard Group, Inc.",7.69%,"17,790,414","2,936,129,927","-110,170",-0.62%,AON
BlackRock Fund Advisors,5.17%,"11,968,674","1,975,309,957","+22,423",+0.19%,AON
"SSgA Funds Management, Inc.",4.50%,"10,417,826","1,719,358,003","-123,756",-1.17%,AON
Lazard Asset Management LLC,3.45%,"7,979,798","1,316,985,862","-638,146",-7.40%,AON
Capital Research & Management Co....,3.08%,"7,127,161","1,176,266,651","+4,055",+0.06%,AON
Longview Partners LLP,2.82%,"6,513,038","1,074,911,792","+47,573",+0.74%,AON
Mawer Investment Management Ltd.,2.32%,"5,355,413","883,857,362","-431,081",-7.45%,AON
Capital Research & Management Co....,2.26%,"5,217,957","861,171,623","+1,942,584",+59.31%,AON
Janus Capital Management LLC,1.97%,"4,557,215","752,122,764","+879,207",+23.90%,AON
"The Vanguard Group, Inc.",11.51%,"15,643,636","591,485,877","-111,603",-0.71%,AOS
"SSgA Funds Management, Inc.",6.82%,"9,276,007","350,725,825","-408,948",-4.22%,AOS
BlackRock Fund Advisors,5.45%,"7,408,453","280,113,608","+198,790",+2.76%,AOS
Brown Brothers Harriman & Co. (In...,5.00%,"6,798,446","257,049,243","+2,096,672",+44.59%,AOS
Impax Asset Management Ltd.,3.12%,"4,235,895","160,159,190","+414,543",+10.85%,AOS
Pictet Asset Management SA,2.97%,"4,036,855","152,633,488","+520,947",+14.82%,AOS
Mackenzie Financial Corp.,2.35%,"3,196,775","120,870,063","+213,656",+7.16%,AOS
American Century Investment Manag...,2.15%,"2,919,727","110,394,878","+169,160",+6.15%,AOS
"Wells Capital Management, Inc.",1.93%,"2,629,051","99,404,418","+1,360,064",+107.18%,AOS
BlackRock Investment Management (...,1.79%,"2,430,172","91,884,803","-55,290",-2.22%,AOS
Dodge & Cox,14.60%,"55,089,363","230,273,537","-315,384",-0.57%,APA
"The Vanguard Group, Inc.",11.52%,"43,479,422","181,743,984","+782,677",+1.83%,APA
"SSgA Funds Management, Inc.",5.46%,"20,590,533","86,068,428","+1,645,015",+8.68%,APA
Harris Associates LP,5.45%,"20,563,519","85,955,509","+1,658,943",+8.78%,APA
Davis Selected Advisers LP,5.34%,"20,131,629","84,150,209","-1,864,927",-8.48%,APA
BlackRock Fund Advisors,4.92%,"18,557,366","77,569,790","-195,938",-1.04%,APA
Baillie Gifford & Co.,4.42%,"16,673,705","69,696,087","-1,391,175",-7.70%,APA
Hotchkis & Wiley Capital Manageme...,4.20%,"15,857,066","66,282,536","+876,050",+5.85%,APA
Orbis Investment Management Ltd.,4.17%,"15,742,243","65,802,576","+2,762,158",+21.28%,APA
Templeton Global Advisors Ltd.,3.73%,"14,088,480","58,889,846","-1,593,902",-10.16%,APA
"The Vanguard Group, Inc.",16.15%,"24,055,031","845,534,340","+80,946",+0.34%,AIV
Cohen & Steers Capital Management...,7.75%,"11,538,241","405,569,171","+1,531,948",+15.31%,AIV
BlackRock Fund Advisors,6.53%,"9,717,508","341,570,406","-33,398",-0.34%,AIV
"SSgA Funds Management, Inc.",5.78%,"8,607,169","302,541,990","-805,166",-8.55%,AIV
Fidelity Management & Research Co...,4.99%,"7,425,581","261,009,172","+1,433,501",+23.92%,AIV
Principal Global Investors LLC,4.87%,"7,254,897","255,009,630","-774,745",-9.65%,AIV
Renaissance Technologies LLC,3.17%,"4,725,295","166,094,119","-886,380",-15.80%,AIV
Daiwa Asset Management Co. Ltd.,3.14%,"4,668,995","164,115,174","+229,978",+5.18%,AIV
Principal Real Estate Investors L...,2.70%,"4,022,150","141,378,573","-424,705",-9.55%,AIV
Invesco Capital Management LLC,2.11%,"3,135,667","110,218,695","-521,304",-14.26%,AIV
"The Vanguard Group, Inc.",7.36%,"321,838,023","81,840,190,869","-2,907,431",-0.90%,AAPL
"Berkshire Hathaway, Inc. (Investm...",5.60%,"245,155,566","62,340,608,878","-3,683,113",-1.48%,AAPL
BlackRock Fund Advisors,4.34%,"189,855,411","48,278,332,463","-1,466,944",-0.77%,AAPL
"SSgA Funds Management, Inc.",4.18%,"182,854,781","46,498,142,260","-1,377,664",-0.75%,AAPL
Fidelity Management & Research Co...,2.02%,"88,533,508","22,513,185,749","-1,152,613",-1.29%,AAPL
Geode Capital Management LLC,1.43%,"62,482,090","15,888,570,666","+789,746",+1.28%,AAPL
"Northern Trust Investments, Inc.(...",1.26%,"55,032,139","13,994,122,626","-663,154",-1.19%,AAPL
"T. Rowe Price Associates, Inc. (I...",1.18%,"51,779,477","13,167,003,206","+27,080,346",+109.64%,AAPL
Norges Bank Investment Management,1.07%,"46,856,273","11,915,081,661","-692,563",-1.46%,AAPL
BlackRock Investment Management (...,0.71%,"30,896,763","7,856,737,863","-326,580",-1.05%,AAPL
"The Vanguard Group, Inc.",7.83%,"71,922,476","3,295,487,850","+500,449",+0.70%,AMAT
"T. Rowe Price Associates, Inc. (I...",5.20%,"47,760,775","2,188,398,711","+13,252,124",+38.40%,AMAT
BlackRock Fund Advisors,5.09%,"46,761,452","2,142,609,731","+2,203,915",+4.95%,AMAT
"SSgA Funds Management, Inc.",4.84%,"44,408,614","2,034,802,693","-906,680",-2.00%,AMAT
Capital Research & Management Co....,3.24%,"29,734,611","1,362,439,876","-7,225,462",-19.55%,AMAT
Capital Research & Management Co....,2.36%,"21,635,360","991,332,195","-1,182,331",-5.18%,AMAT
Fidelity Management & Research Co...,1.81%,"16,619,245","761,493,806","-3,091,051",-15.68%,AMAT
"Invesco Advisers, Inc.",1.65%,"15,191,966","696,095,882","-2,336,244",-13.33%,AMAT
Davis Selected Advisers LP,1.64%,"15,079,298","690,933,434","-465,632",-3.00%,AMAT
Geode Capital Management LLC,1.58%,"14,522,113","665,403,218","+1,208,651",+9.08%,AMAT
"T. Rowe Price Associates, Inc. (I...",14.66%,"37,407,598","1,841,950,126","-9,031,755",-19.45%,APTV
"The Vanguard Group, Inc.",9.06%,"23,123,197","1,138,586,220","-27,443",-0.12%,APTV
BlackRock Fund Advisors,4.69%,"11,965,851","589,198,503","+36,035",+0.30%,APTV
Massachusetts Financial Services ...,4.26%,"10,862,684","534,878,560","-254,776",-2.29%,APTV
"SSgA Funds Management, Inc.",4.23%,"10,800,440","531,813,666","-83,223",-0.76%,APTV
Artisan Partners LP,2.83%,"7,209,365","354,989,133","-124,448",-1.70%,APTV
AllianceBernstein LP,2.34%,"5,972,166","294,069,454","+590,983",+10.98%,APTV
Generation Investment Management ...,2.31%,"5,902,893","290,658,451","+237,428",+4.19%,APTV
Lazard Asset Management LLC,2.03%,"5,169,878","254,564,793","+315,401",+6.50%,APTV
